date,close,macd_histogram,macd_macd,macd_signal
2024-03-01 20:03:00,3437.5,0.7949,1.7304,0.9355
2024-03-01 20:04:00,3432.5,0.6256,1.7176,1.0919
2024-03-01 20:05:00,3431.2,0.3939,1.5843,1.1904
2024-03-01 20:06:00,3430.1,0.1469,1.374,1.2271
2024-03-01 20:07:00,3427.46,-0.1953,0.983,1.1783
2024-03-01 20:08:00,3425.7,-0.5226,0.5251,1.0477
2024-03-01 20:09:00,3425.01,-0.7539,0.1053,0.8592
2024-03-01 20:10:00,3426.2,-0.7913,-0.1299,0.6614
2024-03-01 20:11:00,3425.4,-0.8303,-0.3765,0.4538
2024-03-01 20:12:00,3425.5,-0.809,-0.5574,0.2516
2024-03-01 20:13:00,3423.96,-0.8538,-0.8157,0.0381
2024-03-01 20:14:00,3424.1,-0.8285,-0.9975,-0.169
2024-03-01 20:15:00,3425.6,-0.672,-1.009,-0.337
2024-03-01 20:16:00,3426.4,-0.4845,-0.9427,-0.4582
2024-03-01 20:17:00,3426.65,-0.3215,-0.86,-0.5385
2024-03-01 20:18:00,3425.84,-0.2492,-0.8501,-0.6008
2024-03-01 20:19:00,3427.52,-0.0782,-0.6986,-0.6204
2024-03-01 20:20:00,3426.3,-0.0391,-0.6692,-0.6302
2024-03-01 20:21:00,3428.16,0.1119,-0.4903,-0.6022
2024-03-01 20:22:00,3425.8,0.0556,-0.5327,-0.5883
2024-03-01 20:23:00,3425.7,0.0163,-0.5679,-0.5842
2024-03-01 20:24:00,3430.61,0.3095,-0.1973,-0.5068
2024-03-01 20:25:00,3431.1,0.513,0.1344,-0.3786
2024-03-01 20:26:00,3430.9,0.6043,0.3768,-0.2275
2024-03-01 20:27:00,3432.46,0.7315,0.6869,-0.0446
2024-03-01 20:28:00,3432.66,0.786,0.9379,0.1519
2024-03-01 20:29:00,3433.71,0.8446,1.2077,0.3631
2024-03-01 20:30:00,3437.32,1.0642,1.6933,0.6291
2024-03-01 20:31:00,3439.2,1.2602,2.2044,0.9441
2024-03-01 20:32:00,3435.7,1.0851,2.3005,1.2154
