date,close,macd_histogram,macd_macd,macd_signal
2024-02-01 01:24:00,42004.0,-19.3213,-98.48,-79.1587
2024-02-01 01:25:00,42037.35,-13.6319,-96.1985,-82.5667
2024-02-01 01:26:00,41969.0,-12.9604,-98.7672,-85.8068
2024-02-01 01:27:00,42001.0,-9.0357,-97.1014,-88.0657
2024-02-01 01:28:00,42021.0,-4.0229,-93.0944,-89.0714
2024-02-01 01:29:00,42010.0,-0.56,-89.7715,-89.2114
2024-02-01 01:30:00,41988.1,1.0555,-87.8921,-88.9476
2024-02-01 01:31:00,41940.0,-0.2459,-89.255,-89.0091
2024-02-01 01:32:00,41968.0,1.5496,-87.0721,-88.6217
2024-02-01 01:33:00,41932.0,1.1043,-87.2413,-88.3456
2024-02-01 01:34:00,41915.0,0.4878,-87.7358,-88.2236
2024-02-01 01:35:00,41974.0,4.6454,-82.4169,-87.0623
2024-02-01 01:36:00,41899.44,3.0433,-83.2582,-86.3015
2024-02-01 01:37:00,41889.0,2.0001,-83.8013,-85.8014
2024-02-01 01:38:00,41872.0,0.9387,-84.628,-85.5668
2024-02-01 01:39:00,41861.0,0.3024,-85.1888,-85.4912
2024-02-01 01:40:00,41884.0,2.1349,-82.8225,-84.9574
2024-02-01 01:41:00,41897.0,4.7757,-78.9878,-83.7635
2024-02-01 01:42:00,41932.0,9.1779,-72.2912,-81.469
2024-02-01 01:43:00,41996.0,16.283,-61.1153,-77.3983
2024-02-01 01:44:00,42021.0,22.1839,-49.6685,-71.8523
2024-02-01 01:45:00,42015.0,24.9916,-40.6128,-65.6044
2024-02-01 01:46:00,41985.78,24.1747,-35.386,-59.5607
2024-02-01 01:47:00,42003.0,24.0374,-29.514,-53.5514
2024-02-01 01:48:00,42029.66,24.8808,-22.4503,-47.3312
2024-02-01 01:49:00,41989.12,21.9495,-19.8943,-41.8438
2024-02-01 01:50:00,41948.0,16.7189,-20.9452,-37.6641
2024-02-01 01:51:00,41990.0,15.5877,-18.1794,-33.7671
2024-02-01 01:52:00,41922.0,10.0299,-21.2298,-31.2597
2024-02-01 01:53:00,41963.51,8.9546,-20.0665,-29.021
2024-02-01 01:54:00,41956.0,7.5965,-19.5254,-27.1219
2024-02-01 01:55:00,41912.36,3.8093,-22.3603,-26.1696
2024-02-01 01:56:00,41938.26,3.1274,-22.2604,-25.3877
2024-02-01 01:57:00,41981.0,5.495,-18.519,-24.014
2024-02-01 01:58:00,41983.0,7.0375,-15.2171,-22.2546
2024-02-01 01:59:00,41961.0,6.4343,-14.2117,-20.646
2024-02-01 02:00:00,41945.93,4.9454,-14.4643,-19.4097
2024-02-01 02:01:00,41968.0,5.3384,-12.7367,-18.0751
2024-02-01 02:02:00,41965.46,5.3075,-11.4407,-16.7482
2024-02-01 02:03:00,42005.48,7.7166,-7.1024,-14.8191
2024-02-01 02:04:00,41993.56,8.1965,-4.5734,-12.7699
2024-02-01 02:05:00,41963.0,6.2337,-4.9778,-11.2115
2024-02-01 02:06:00,41950.0,3.9493,-6.2749,-10.2242
2024-02-01 02:07:00,41976.0,4.0629,-5.1455,-9.2084
